Word,Wdnum,ValMn,ValSD,AroMn,AroSD,DomMn,DomSD,Length
burn,586,2.73,(1.72),6.22,(1.91),4.22,(1.83),4
bury,1231,3.68,(1.40),5.68,(1.40),4.16,(1.32),4
bus,541,4.51,(1.57),3.55,(1.80),4.84,(1.75),3
bustle,1232,5.43,(1.57),5.80,(2.02),4.93,(1.62),6
busy,1233,4.19,(1.60),4.58,(1.96),4.69,(1.49),4
busybody,674,5.17,(2.02),4.84,(2.41),5.45,(1.97),8
butcher,2581,3.89,(1.78),4.38,(2.18),5.47,(2.01),7
butler,1234,5.93,(1.82),4.70,(2.40),5.48,(2.36),6
butt,1235,6.47,(1.61),5.70,(2.15),5.97,(1.61),4
butter,57,5.33,(1.20),3.17,(1.84),4.67,(1.69),6
butterfly,58,7.17,(1.20),3.47,(2.39),4.65,(2.27),9
button,1236,5.21,(1.13),3.82,(2.34),5.68,(2.18),6
cab,1237,4.53,(1.07),3.97,(1.88),4.27,(1.93),3
cabin,2582,5.52,(1.75),4.28,(2.24),5.58,(1.92),5
cabinet,675,5.05,(0.31),3.43,(1.85),4.73,(1.66),7
cactus,2583,4.96,(1.43),3.92,(2.00),5.48,(1.59),6
cake,59,7.26,(1.27),5.00,(2.37),5.16,(2.05),4
calendar,2584,5.37,(1.42),4.10,(2.12),5.56,(1.80),8
calf,1238,5.39,(1.64),4.11,(2.18),6.05,(1.45),4
call,2585,5.56,(1.57),4.63,(2.09),5.43,(1.58),4
calm,1239,6.73,(1.68),3.60,(2.51),6.37,(2.06),4
camel,1240,5.63,(1.60),4.34,(1.88),5.09,(1.35),5
camera,2586,5.99,(1.64),4.52,(2.21),5.54,(1.98),6
campus,1241,6.07,(1.46),4.79,(1.68),5.03,(1.52),6
cancel,1242,3.46,(1.36),4.31,(2.04),4.08,(2.00),6
cancer,60,1.50,(0.85),6.42,(2.83),3.42,(2.99),6
candid,2587,6.02,(1.77),4.47,(2.05),5.43,(1.79),6
candle,2588,5.62,(1.66),3.49,(2.16),5.68,(1.90),6
candlestick,1243,5.43,(1.48),4.27,(2.21),5.00,(1.34),11
candy,61,6.54,(2.09),4.58,(2.40),5.33,(1.91),5
cane,677,4.00,(1.80),4.20,(1.93),4.27,(1.95),4
cannon,678,4.90,(2.20),4.71,(2.84),5.17,(2.29),6
canoe,1244,6.29,(1.67),4.79,(2.64),5.86,(1.56),5
canyon,1245,5.76,(1.55),5.29,(2.48),3.79,(1.91),6
capability,1246,7.00,(1.65),5.43,(2.32),6.36,(1.91),10
capable,62,7.16,(1.39),5.08,(2.07),6.47,(1.94),7
cape,1247,6.33,(1.42),5.03,(1.94),6.07,(1.28),4
car,551,7.73,(1.63),6.24,(2.04),6.98,(2.06),3
carcass,679,3.34,(1.92),4.83,(2.07),4.90,(1.79),7
card,1248,5.61,(1.23),4.43,(2.15),5.57,(1.64),4
care,1249,7.53,(1.36),6.03,(1.87),6.37,(1.73),4
carefree,63,7.54,(1.38),4.17,(2.84),5.78,(2.50),8
careful,2589,5.23,(1.59),4.19,(1.97),5.49,(1.69),7
careless,2590,3.90,(1.79),4.61,(2.05),4.66,(1.82),8
caress,64,7.84,(1.16),5.14,(3.00),5.83,(2.13),6
caring,1250,6.84,(1.92),4.38,(2.23),5.78,(1.79),6
carnival,1251,6.77,(2.01),6.20,(2.47),5.60,(1.73),8
carpet,1252,5.17,(1.17),3.66,(1.72),5.14,(1.09),6
carrot,1253,5.43,(1.74),3.90,(1.84),5.89,(1.79),6
cartoon,1254,6.94,(1.36),5.52,(2.06),5.77,(1.80),7
carve,1255,5.08,(1.12),4.72,(1.65),4.88,(1.30),5
carwash,1256,6.00,(1.74),4.67,(2.11),5.43,(1.74),7
cash,503,8.37,(1.00),7.37,(2.21),6.96,(2.39),4
casino,680,6.81,(1.66),6.51,(2.12),5.12,(2.15),6
casket,2591,2.60,(1.87),4.12,(2.65),3.93,(2.45),6
cast,1257,4.46,(1.36),4.50,(1.86),5.08,(1.55),4
castle,1258,7.43,(1.55),6.13,(2.15),6.43,(1.99),6
castrate,1259,2.16,(1.99),5.75,(3.05),2.75,(2.09),8
casual,2592,6.11,(1.36),3.98,(2.08),5.59,(1.66),6
casualty,2593,3.56,(1.96),4.79,(2.25),4.47,(2.11),8
cat,504,5.72,(2.43),4.38,(2.24),6.16,(2.05),3
cattle,1260,5.50,(1.74),4.20,(2.14),5.57,(1.79),6
cauliflower,2594,4.94,(2.08),3.86,(2.20),5.25,(1.78),11
cautious,2595,4.79,(1.42),4.62,(1.96),5.29,(1.81),8
cave,1261,4.78,(1.98),5.44,(1.85),4.44,(1.56),4
cavern,1262,5.62,(1.63),5.28,(2.23),5.28,(1.67),6
cavity,1263,2.59,(1.90),6.14,(2.62),3.50,(2.22),6
cavort,1264,5.10,(1.05),4.86,(1.94),4.97,(1.27),6
cease,1265,4.48,(1.15),4.25,(1.71),4.64,(1.57),5
ceiling,1266,5.45,(0.95),4.04,(2.22),5.18,(1.47),7
celebrate,2596,7.58,(1.77),6.61,(2.20),5.73,(2.16),9
celebration,2597,7.98,(1.31),7.14,(2.04),5.90,(1.96),11
cell,587,3.82,(1.70),4.08,(2.19),4.12,(2.13),4
cellar,681,4.32,(1.68),4.39,(2.33),4.66,(1.61),6
cemetery,65,2.63,(1.40),4.82,(2.66),4.27,(2.14),8
century,2598,5.30,(1.33),4.12,(1.85),4.94,(1.40),7
cereal,1267,7.35,(1.51),5.08,(2.61),6.28,(2.15),6
chair,66,5.08,(0.98),3.15,(1.77),4.56,(1.60),5
chalk,1268,4.89,(1.69),3.48,(2.24),4.70,(1.59),5
challenge,1269,6.43,(1.57),6.43,(1.81),6.07,(2.52),9
champ,682,7.18,(1.97),6.00,(2.43),6.77,(2.00),5
champagne,1270,7.00,(1.77),5.93,(2.33),5.43,(2.06),9
champion,67,8.44,(0.90),5.85,(3.15),6.50,(2.85),8
chance,683,6.02,(1.77),5.38,(2.58),4.64,(1.93),6
change,1271,5.24,(1.98),5.25,(2.38),4.79,(1.99),6
chaos,684,4.17,(2.36),6.67,(2.06),3.86,(1.95),5
chapel,2599,5.36,(1.85),3.95,(2.14),5.18,(1.98),6
character,1272,5.87,(1.68),5.17,(1.49),5.77,(1.65),9
charisma,2600,7.15,(1.63),5.75,(2.25),6.05,(2.04),8
charitable,2601,7.40,(1.56),5.27,(2.47),6.03,(2.08),10
charity,2602,7.12,(1.75),5.10,(2.43),5.81,(2.23),7
charm,68,6.77,(1.58),5.16,(2.25),5.57,(2.25),5
charming,2603,6.87,(1.68),5.65,(2.17),5.56,(1.97),8
chase,1273,5.07,(2.03),6.50,(1.95),4.64,(1.97),5
cheapskate,2604,3.39,(1.82),4.01,(1.95),4.80,(1.90),10
checkerboard,1274,5.80,(1.47),4.21,(1.95),5.07,(1.94),12
cheer,69,8.10,(1.17),6.12,(2.45),6.00,(2.06),5
cheerful,1275,8.10,(1.35),6.36,(2.41),6.79,(1.71),8
cheerleader,1276,6.48,(2.13),5.67,(2.69),5.81,(1.92),11
cheery,2605,7.55,(1.49),5.99,(2.14),5.60,(1.89),6
cheese,1277,6.33,(1.90),5.20,(2.01),4.97,(1.85),6
cheeseburger,1278,7.61,(1.83),6.00,(2.26),6.46,(1.97),12
chef,1279,7.26,(1.56),5.67,(2.56),6.33,(1.88),4
cherish,2606,7.37,(1.64),5.52,(2.33),5.74,(2.07),7
chess,1280,5.48,(1.24),4.07,(2.10),5.00,(1.60),5
chest,1281,6.26,(1.56),5.44,(2.39),5.44,(1.95),5
chew,2607,5.45,(1.74),4.26,(2.20),5.78,(1.97),4
chicken,1282,6.87,(1.66),5.10,(2.02),5.83,(1.44),7
child,70,7.08,(1.98),5.55,(2.29),5.10,(2.30),5
childhood,2608,7.00,(1.91),5.98,(2.30),4.92,(2.04),9
childish,2609,4.55,(2.04),4.73,(2.15),5.15,(2.05),8
children,2610,6.37,(2.13),5.74,(2.32),5.61,(1.94),8
chimney,1283,5.72,(1.28),3.46,(1.84),5.13,(0.85),7
chin,685,5.29,(1.27),3.31,(1.98),5.26,(1.48),4
chocolate,505,6.88,(1.89),5.29,(2.55),5.18,(1.97),9
choice,1284,6.94,(2.08),5.23,(2.54),7.33,(2.31),6
choir,1285,6.41,(1.84),4.50,(2.41),5.50,(1.26),5
choke,1286,2.38,(1.43),6.34,(2.60),2.91,(1.96),5
chore,1287,2.74,(1.38),3.52,(2.47),3.26,(1.95),5
christmas,686,7.80,(1.55),6.27,(2.56),5.37,(2.09),9
chubby,2611,3.68,(2.02),4.26,(2.22),4.73,(2.36),6
chump,2612,3.77,(1.81),4.18,(1.93),4.45,(1.88),5
church,71,6.28,(2.31),4.34,(2.45),5.00,(2.42),6
cider,1288,6.03,(1.78),4.10,(1.99),5.48,(1.84),5
cigar,1289,4.61,(2.94),4.14,(2.45),5.18,(2.31),5
cigarette,1290,2.46,(1.75),5.35,(2.26),4.54,(2.35),9
cinema,1291,7.86,(1.16),6.18,(2.23),6.14,(1.76),6
cinnamon,2613,5.79,(1.99),4.35,(2.30),4.98,(1.72),8
circle,687,5.67,(1.26),3.86,(2.13),5.03,(1.46),6
circular,2614,5.12,(1.46),3.66,(1.87),5.48,(1.81),8
circus,72,7.30,(1.84),5.97,(2.59),5.39,(2.25),6
citizen,2615,6.28,(1.69),4.39,(2.44),5.55,(2.11),7
city,73,6.03,(1.37),5.24,(2.53),5.74,(2.08),4
civil,2616,6.03,(1.32),4.14,(1.96),5.71,(1.67),5
claim,2617,5.15,(1.33),4.42,(1.89),5.27,(1.62),5
clan,1292,4.93,(2.20),5.00,(1.92),5.04,(2.41),4
clarinet,1293,5.70,(1.88),4.47,(1.93),5.43,(1.52),8
class,1294,4.37,(2.11),3.93,(2.23),4.80,(2.17),5
classic,2618,6.08,(1.58),4.44,(1.99),5.58,(1.67),7
classy,2619,7.16,(1.53),4.87,(2.22),6.47,(1.94),6
clause,1295,4.93,(1.80),4.20,(1.47),4.40,(1.28),6
claw,1296,4.23,(1.45),4.81,(1.79),4.69,(1.12),4
clay,1297,5.33,(0.99),3.83,(1.86),5.50,(1.36),4
clean,1298,7.23,(1.76),4.80,(2.47),6.90,(1.84),5
clear,2620,6.05,(1.57),3.86,(2.11),5.81,(1.87),5
clearer,2621,6.45,(1.50),4.38,(2.09),5.93,(1.76),7
cleavage,1299,6.33,(1.99),5.53,(2.45),6.03,(1.85),8
cleft,1300,4.13,(1.72),3.93,(2.18),4.67,(1.65),5
clench,1301,4.43,(1.38),5.63,(1.77),4.37,(1.75),6
clever,2622,6.90,(1.58),5.19,(2.20),6.49,(2.07),6
cliff,553,4.67,(2.08),6.25,(2.15),4.35,(2.11),5
cliffdiver,1302,5.80,(1.90),5.93,(2.43),5.20,(1.95),10
climax,1303,6.93,(2.16),7.18,(2.40),5.86,(2.21),6
cling,1304,4.52,(1.23),4.23,(1.94),4.77,(1.65),5
clinic,1305,4.72,(1.67),4.81,(2.02),4.19,(1.94),6
clock,688,5.14,(1.54),4.02,(2.54),4.67,(1.97),5
closet,1306,5.21,(1.45),4.57,(1.83),5.82,(1.68),6
clot,1307,3.13,(1.68),4.70,(2.37),3.66,(1.93),4
cloth,1308,5.27,(1.53),3.55,(2.05),5.14,(1.66),5
clothe,1309,5.97,(1.71),4.60,(2.11),5.80,(1.63),6
clothes,1310,6.66,(1.65),5.86,(2.00),6.52,(1.68),7
clothing,74,6.54,(1.85),4.78,(2.88),5.33,(2.14),8
clouds,533,6.18,(2.18),3.30,(2.08),5.22,(1.66),6
clown,1311,5.39,(2.15),5.43,(2.23),4.86,(2.03),5
clue,1312,5.57,(1.10),5.52,(1.43),5.03,(1.15),4
clumsy,689,4.00,(2.22),5.18,(2.40),3.86,(1.79),6
coach,1313,6.21,(1.66),5.59,(1.92),4.83,(2.04),5
coal,2623,4.34,(1.37),3.29,(1.70),5.50,(1.52),4
coarse,690,4.55,(1.42),4.21,(1.84),5.00,(1.43),6
coast,691,5.98,(1.86),4.59,(2.31),5.67,(1.71),5
coat,2624,5.45,(1.30),3.78,(2.06),5.37,(1.81),4
coax,1314,4.76,(1.53),4.83,(1.73),5.17,(1.77),4
cocaine,1315,3.37,(2.83),4.93,(3.31),4.70,(3.24),7
cockpit,1316,6.31,(1.65),5.53,(2.33),4.78,(2.34),7
cockroach,75,2.81,(2.11),6.11,(2.78),4.74,(2.58),9
cocoa,1317,7.28,(1.22),5.54,(2.47),6.04,(1.35),5
cod,1318,4.95,(1.66),4.05,(1.87),5.13,(1.36),3
coddle,1319,4.81,(1.11),4.43,(1.70),5.07,(1.66),6
coffee,2625,6.58,(2.16),5.59,(2.74),5.95,(2.20),6
coffin,76,2.56,(1.96),5.03,(2.79),4.08,(2.54),6
cognition,1320,5.57,(1.26),4.59,(2.10),5.56,(1.31),9
coin,692,6.02,(1.96),4.29,(2.48),5.66,(1.68),4
cold,693,4.02,(1.99),5.19,(2.23),4.69,(1.73),4
colony,1321,5.28,(1.56),4.86,(2.37),5.57,(1.62),6
color,694,7.02,(1.57),4.73,(2.64),6.17,(1.82),5
colorful,2626,7.31,(1.57),5.60,(2.39),5.98,(1.99),8
column,695,5.17,(0.85),3.62,(1.91),4.81,(1.58),6
comedy,77,8.37,(0.94),5.85,(2.81),5.44,(2.08),6
comet,1322,6.23,(2.10),5.97,(2.11),4.30,(2.38),5
comfort,696,7.07,(2.14),3.93,(2.85),5.70,(2.05),7
comfortable,1323,8.07,(1.14),3.59,(2.50),6.70,(2.13),11
command,1324,4.57,(1.87),5.64,(2.53),4.25,(3.04),7
committee,2627,5.14,(1.40),4.39,(1.94),4.96,(1.68),9
common,2628,4.78,(1.34),3.68,(1.87),4.90,(1.79),6
communism,1325,2.80,(2.41),5.55,(2.71),3.07,(2.29),9
compassion,2629,7.73,(1.39),5.47,(2.37),5.65,(2.28),10
compassionate,2630,7.67,(1.50),5.57,(2.37),6.05,(1.89),13
compel,1326,4.97,(1.25),5.43,(1.89),5.53,(1.80),6
competent,1327,7.07,(1.53),5.34,(1.93),6.72,(1.89),9
complain,2631,3.11,(1.59),4.47,(2.14),4.93,(2.00),8
complaint,2632,3.23,(1.55),4.38,(2.16),4.70,(2.04),9
complete,1328,8.17,(1.14),5.75,(2.17),7.36,(1.50),8
complex,1329,5.25,(1.32),5.63,(1.70),5.34,(1.54),7
compliment,2633,7.03,(1.84),5.64,(2.15),5.88,(2.01),10
compulsive,1330,4.14,(2.05),5.70,(2.46),4.04,(1.93),10
computer,552,6.24,(1.61),4.75,(1.93),5.29,(1.99),8
con,2634,3.43,(1.74),4.28,(2.04),4.92,(2.24),3
conceited,2635,3.68,(2.03),4.64,(2.09),5.32,(2.25),9
concentrate,78,5.20,(1.28),4.65,(2.13),4.97,(1.75),11
concerned,1331,4.06,(1.61),5.55,(2.13),4.45,(1.98),9
concert,1332,7.66,(1.40),7.32,(2.06),5.71,(2.02),7
concrete,1333,5.32,(0.98),4.03,(1.89),5.77,(1.41),8
condemn,2636,3.51,(1.87),4.67,(2.17),4.89,(2.40),7
condescension,2637,3.83,(1.62),4.18,(2.11),4.79,(2.07),13
condom,1334,6.30,(1.66),6.43,(1.96),6.30,(2.04),6
confidence,2638,7.04,(1.93),5.52,(2.49),6.42,(2.35),10
confident,79,7.98,(1.29),6.22,(2.41),7.68,(1.94),9
confuse,2639,3.69,(1.41),4.24,(1.91),4.40,(2.01),7
confused,80,3.21,(1.51),6.03,(1.88),4.24,(1.91),8
confusion,1335,3.46,(1.93),6.07,(2.34),3.04,(1.91),9
congratulate,2640,7.42,(1.49),6.11,(2.04),5.96,(1.93),12
congratulations,2641,8.16,(1.13),6.95,(2.16),6.29,(2.32),15
conquer,1336,6.86,(1.72),6.79,(1.79),7.25,(1.94),7
conquest,1337,5.85,(1.71),6.50,(1.90),5.73,(2.31),8
consoled,81,5.78,(1.64),4.53,(2.22),4.44,(1.84),8
constructive,1338,6.13,(1.43),5.13,(1.78),5.83,(1.78),12
contaminate,2642,2.69,(1.64),5.01,(2.50),3.87,(2.19),11
contemporary,2643,5.78,(1.41),4.49,(1.96),5.43,(1.44),12
contempt,82,3.85,(2.13),5.28,(2.04),5.13,(1.73),8
contents,83,4.89,(0.89),4.32,(2.14),4.85,(1.49),8
context,84,5.20,(1.38),4.22,(2.24),5.17,(1.39),7
continuation,1339,5.70,(1.58),4.93,(2.24),5.13,(1.59),12
control,1340,6.46,(1.35),5.93,(2.12),6.79,(2.44),7
controlling,85,3.80,(2.25),6.10,(2.19),5.17,(3.15),11
convey,1341,5.61,(1.37),4.64,(2.04),5.75,(1.67),6
cook,697,6.16,(1.89),4.44,(1.96),5.14,(1.49),4
cookie,1342,7.60,(1.43),5.43,(2.28),6.17,(1.78),6
cookout,1343,7.31,(1.69),6.14,(2.29),5.97,(1.61),7
cool,1344,6.83,(1.34),4.17,(2.27),5.97,(1.38),4
cooperate,2644,6.60,(1.76),4.91,(1.99),5.80,(1.82),9
cooperation,2645,6.22,(1.69),4.83,(1.97),5.92,(1.71),11
cooperative,2646,6.50,(1.60),4.50,(2.10),5.78,(1.99),11
cope,1345,4.60,(1.94),4.66,(2.14),4.76,(2.21),4
copper,1346,5.35,(0.95),3.61,(2.03),5.29,(1.42),6
cord,698,5.10,(1.09),3.54,(2.09),5.00,(1.22),4
core,1347,4.80,(1.19),4.18,(1.76),5.50,(1.45),4
cork,699,5.22,(1.13),3.80,(2.18),4.98,(1.04),4
corn,1348,6.00,(1.69),4.57,(1.93),5.71,(1.86),4
corner,700,4.36,(1.21),3.91,(1.92),4.12,(1.66),6
corny,2647,5.30,(1.90),3.81,(1.82),5.52,(1.62),5
corpse,86,2.18,(1.48),4.74,(2.94),3.59,(2.44),6
corridor,701,4.88,(1.14),3.63,(2.41),5.00,(1.48),8
corrupt,702,3.32,(2.32),4.67,(2.35),4.64,(2.30),7
costume,1349,7.34,(1.26),6.00,(1.91),6.86,(1.56),7
cottage,87,6.45,(1.52),3.39,(2.54),5.39,(1.78),7
cotton,2648,5.54,(1.54),4.03,(1.84),5.47,(1.60),6
couch,1350,6.78,(1.64),4.03,(2.41),5.83,(2.13),5
cough,2649,3.45,(1.41),4.37,(2.14),4.19,(1.95),5
counselor,1351,4.68,(1.94),4.54,(2.03),4.07,(1.88),9
country,1352,5.93,(1.91),5.26,(1.93),5.96,(1.93),7
countryside,2650,6.42,(1.90),4.21,(2.32),5.29,(1.91),11
couple,506,7.41,(1.97),6.39,(2.31),6.02,(2.28),6
coupon,1353,6.43,(1.57),5.10,(2.29),5.83,(2.07),6
courage,2651,7.31,(1.54),6.21,(2.38),6.89,(2.05),7
courageous,2652,7.47,(1.46),6.61,(1.85),6.89,(2.06),10
court,1354,3.44,(2.41),5.67,(2.81),3.56,(2.79),5
courteous,2653,6.83,(1.68),4.44,(2.11),6.00,(1.88),9
courtroom,2654,4.04,(1.71),5.02,(2.27),4.51,(2.31),9
courtyard,1355,5.75,(1.35),4.00,(2.27),5.30,(1.73),9
cousin,1356,6.32,(2.44),4.87,(2.33),5.13,(1.81),6
cow,554,5.57,(1.53),3.49,(2.13),5.32,(1.61),3
coward,703,2.74,(1.64),4.07,(2.19),2.83,(1.61),6
cowardice,2655,2.90,(1.50),4.27,(2.11),4.49,(2.65),9
cowardly,2656,3.05,(1.46),4.49,(2.09),3.90,(2.20),8
cowboy,1357,6.48,(1.88),5.75,(2.07),5.71,(1.74),6
coyote,1358,4.86,(2.19),5.19,(2.68),3.93,(2.04),6
cozy,88,7.39,(1.53),3.32,(2.28),4.89,(2.28),4
crab,1359,5.28,(1.87),4.72,(2.28),5.45,(1.70),4
crackers,1360,5.80,(1.40),4.47,(1.96),5.50,(1.28),8
craft,1361,6.54,(1.67),4.70,(2.27),5.33,(2.02),5
cram,1362,3.16,(2.00),6.40,(2.82),3.97,(2.59),4
cranky,1363,2.90,(1.90),5.36,(2.36),4.39,(1.71),6
crap,2657,3.99,(1.73),4.03,(1.93),5.17,(1.98),4
crash,89,2.31,(1.44),6.95,(2.44),3.44,(2.21),5
crave,1364,4.88,(1.58),6.13,(1.43),3.97,(1.78),5
crazy,1365,5.93,(1.95),6.28,(2.25),5.13,(2.33),5
create,1366,6.79,(1.95),5.75,(1.60),5.89,(2.20),6
creative,2658,6.95,(1.77),5.65,(2.15),5.89,(2.08),8
creature,2659,5.17,(1.58),4.71,(1.87),5.48,(1.42),8
creek,1367,6.55,(1.68),4.62,(2.44),5.17,(1.61),5
creepy,2660,2.71,(1.45),5.49,(2.39),3.95,(1.94),6
crime,704,2.89,(2.06),5.41,(2.69),4.12,(2.24),5
criminal,705,2.93,(1.66),4.79,(2.51),3.34,(1.73),8
cripple,1368,2.89,(1.66),5.14,(2.14),3.64,(1.62),7
crisis,706,2.74,(2.23),5.44,(3.07),3.60,(2.47),6
critic,1369,3.04,(1.48),5.67,(2.27),3.26,(2.30),6
critical,2661,3.94,(1.65),4.72,(2.28),5.13,(2.10),8
criticism,1370,2.75,(1.76),6.18,(2.40),3.11,(1.89),9
critique,1371,4.39,(1.87),5.37,(2.06),4.07,(2.12),8
crocodile,1372,5.00,(2.36),6.03,(2.22),4.17,(2.00),9
crossword,1373,5.44,(1.58),3.96,(1.58),5.37,(1.18),9
crowd,1374,4.93,(1.60),5.30,(2.05),3.87,(1.98),5
crown,90,6.58,(1.42),4.28,(2.53),6.06,(2.15),5
crucify,91,2.23,(1.72),6.47,(2.47),3.74,(2.48),7
crude,707,3.12,(1.65),5.07,(2.37),4.27,(1.94),5
cruel,92,1.97,(1.67),5.68,(2.65),4.24,(2.84),5
cruise,1375,7.17,(1.68),5.83,(2.69),5.63,(1.65),6
cruiseship,1376,7.66,(1.45),6.76,(2.29),5.31,(2.14),10
crumbs,1377,4.27,(1.71),4.50,(2.06),5.31,(1.12),6
crunch,1378,5.83,(1.34),5.37,(1.94),5.57,(1.68),6
crush,1379,5.90,(2.07),6.70,(1.82),4.47,(2.18),5
crushed,93,2.21,(1.74),5.52,(2.87),3.36,(2.69),7
crutch,708,3.43,(1.62),4.14,(2.05),3.91,(1.79),6
cry,2662,2.35,(1.57),4.60,(2.58),3.99,(2.53),3
crystal,2663,6.28,(1.65),4.32,(2.30),5.23,(1.74),7
cuddle,94,7.72,(1.92),4.40,(2.67),5.85,(2.42),6
cuisine,709,6.64,(1.48),4.39,(1.99),5.41,(1.19),7
cult,1380,2.48,(1.85),6.15,(2.71),3.44,(2.68),4
culture,1381,5.90,(2.34),4.90,(2.63),5.57,(2.69),7
cunt,2664,2.96,(2.32),5.22,(2.70),4.75,(2.64),4
cup,1382,5.44,(1.05),3.70,(2.16),5.63,(1.90),3
cupboard,1383,4.79,(1.21),3.83,(2.16),4.90,(1.45),8
cupcake,1384,7.20,(1.85),5.93,(2.38),5.67,(2.01),7
cure,1385,8.18,(1.25),6.57,(2.23),6.04,(2.28),4
curiosity,2665,6.74,(1.53),6.08,(2.00),5.46,(1.75),9
curious,95,6.08,(1.63),5.82,(1.64),5.42,(1.60),7
curse,2666,4.19,(1.82),4.73,(1.79),5.02,(2.21),5
curtains,710,4.83,(0.83),3.67,(1.83),5.05,(1.56),8
curve,1386,5.54,(1.20),5.07,(1.69),5.19,(1.30),5
curved,2667,5.26,(1.77),4.40,(2.21),5.10,(1.68),6
custom,96,5.85,(1.53),4.66,(2.12),5.00,(1.87),6
cut,711,3.64,(2.08),5.00,(2.32),4.70,(1.98),3
cute,97,7.62,(1.01),5.53,(2.71),4.86,(2.32),4
cyclone,98,3.60,(2.38),6.36,(2.89),4.89,(2.56),7
cynical,2668,3.76,(1.86),4.58,(2.12),5.15,(1.99),7
dad,2669,6.81,(2.21),5.25,(2.44),5.37,(2.13),3
dagger,99,3.38,(1.77),6.14,(2.64),4.52,(2.27),6
daisy,1387,7.48,(1.53),3.96,(2.61),5.33,(2.50),5
damage,712,3.05,(1.65),5.57,(2.26),3.88,(1.86),6
damn,1388,4.52,(2.23),5.43,(2.38),5.18,(2.11),4
damp,1389,3.68,(1.56),4.07,(1.73),4.44,(1.55),4
dance,1390,7.38,(1.84),6.71,(1.98),6.04,(1.77),5
dancer,507,7.14,(1.56),6.00,(2.20),6.02,(1.93),6
dancing,2670,7.13,(1.80),6.38,(2.30),5.62,(2.27),7
dandruff,2671,2.95,(1.80),3.33,(2.12),4.30,(2.37),8
danger,713,2.95,(2.22),7.32,(2.07),3.59,(2.31),6
dangerous,2672,3.69,(2.00),6.29,(2.19),4.93,(2.40),9
dare,1391,5.76,(2.20),6.57,(2.46),5.00,(2.72),4
dark,714,4.71,(2.36),4.28,(2.21),4.84,(2.15),4
darling,2673,6.67,(1.61),5.21,(2.14),5.49,(1.72),7
daughter,1392,6.36,(1.99),5.11,(1.99),5.68,(1.93),8
dawn,715,6.16,(2.33),4.39,(2.81),5.16,(2.23),4
day,1393,6.66,(1.43),5.00,(2.02),5.88,(1.43),3
daydream,2674,6.81,(1.48),4.74,(2.27),5.42,(1.93),8
daylight,716,6.80,(2.17),4.77,(2.50),5.48,(2.14),8
daze,1394,5.04,(1.55),4.00,(2.17),4.59,(1.47),4
dazzle,717,7.29,(1.09),6.33,(2.02),5.62,(1.81),6
dead,588,1.94,(1.76),5.73,(2.73),2.84,(2.32),4
deadly,1395,2.73,(1.89),6.62,(2.25),3.46,(2.14),6
death,100,1.61,(1.40),4.59,(3.07),3.47,(2.50),5
debate,2675,5.14,(1.73),5.43,(2.15),5.71,(1.74),6
debt,101,2.22,(1.17),5.68,(2.74),3.02,(2.16),4
decade,2676,5.10,(1.42),4.20,(1.99),5.13,(1.82),6
decapitate,1396,2.45,(1.90),6.41,(2.51),3.28,(2.45),10
decay,1397,2.68,(1.66),4.44,(2.28),3.63,(1.84),5
deceit,718,2.90,(1.63),5.68,(2.46),3.95,(2.12),6
decency,1398,5.83,(1.78),4.50,(1.63),5.70,(1.37),7
decompose,102,3.20,(1.81),4.65,(2.39),4.02,(1.91),9
decorate,719,6.93,(1.30),5.14,(2.39),6.05,(1.86),8
deed,1399,5.85,(1.46),5.15,(2.09),5.73,(1.76),4
deep,2677,5.08,(1.80),4.55,(2.20),5.37,(2.03),4
defeat,1400,2.97,(2.34),5.63,(2.43),3.60,(2.34),6
defeated,103,2.34,(1.66),5.09,(3.00),3.11,(2.34),8
defecate,1401,3.33,(2.45),5.14,(2.85),4.77,(2.16),8
defend,1402,6.07,(1.89),5.97,(2.40),6.27,(1.98),6
defer,1403,4.10,(1.54),4.48,(2.37),4.76,(2.44),5
defiant,104,4.26,(2.12),6.10,(2.51),5.77,(2.40),7
deficient,2678,3.36,(1.65),4.26,(1.92),4.03,(1.87),9
deformed,720,2.41,(1.66),4.07,(2.34),3.95,(2.18),8
defy,1404,5.40,(2.11),5.63,(2.28),6.00,(2.27),4
delayed,721,3.07,(1.74),5.62,(2.39),3.64,(1.94),7
delicate,2679,5.50,(1.87),3.81,(2.17),4.52,(2.14),8
delicious,2680,7.85,(1.34),6.26,(2.29),5.95,(1.93),9
delight,1405,7.48,(1.84),6.68,(2.20),5.68,(2.02),7
delightful,2681,7.80,(1.52),5.58,(2.35),5.69,(1.86),10
delude,1406,4.71,(1.04),4.10,(1.79),5.20,(1.16),6
demand,1407,3.76,(1.57),5.75,(1.71),4.86,(2.53),6
democracy,1408,6.55,(2.03),5.39,(2.36),6.04,(2.03),9
demolish,2682,3.69,(1.92),4.96,(2.05),5.16,(2.36),8
demon,106,2.11,(1.56),6.76,(2.68),4.89,(2.89),5
demonic,2683,2.43,(1.89),5.53,(2.75),4.15,(2.68),7
den,1409,5.72,(1.49),3.50,(2.00),6.17,(1.76),3
denial,1410,3.28,(1.44),6.03,(1.68),4.06,(2.14),6
denote,1411,4.63,(1.27),4.40,(1.87),4.83,(1.46),6
dense,2684,4.63,(1.54),3.76,(1.96),5.14,(1.86),5
